CTD,20130709ODF
# REPORTED CAST DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
NUMBER_HEADERS = 11
EXPOCODE = 318M20130321
SECT_ID = P02W
STNNBR = 35
CASTNO = 1
DATE = 20130415
TIME = 0212
LATITUDE =  30.0001
LONGITUDE =  147.7915
DEPTH =  6173
INSTRUMENT_ID = 914
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,TRANSM,TRANSM_FLAG_W,FLUORM,FLUORM_FLAG_W,CTDNOBS,CTDETIME
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,,
    368.0,2,  15.2053,2,  34.5745,2,    191.3,2,   4.4530,1,    0.004,1,       47,   1124.2
    370.0,2,  15.1843,2,  34.5742,2,    191.4,2,   4.4529,1,    0.004,1,       48,   1126.2
    372.0,2,  15.0989,2,  34.5664,2,    191.7,2,   4.4530,1,    0.004,1,       47,   1128.3
    374.0,2,  15.0084,2,  34.5600,2,    191.8,2,   4.4529,1,    0.004,1,       48,   1130.2
    376.0,2,  14.9803,2,  34.5576,2,    190.7,2,   4.4530,1,    0.004,1,       48,   1132.2
    378.0,2,  14.9656,2,  34.5575,2,    189.7,2,   4.4524,1,    0.004,1,       48,   1134.2
    380.0,2,  14.9617,2,  34.5580,2,    189.3,2,   4.4532,1,    0.004,1,       60,   1136.5
    382.0,2,  14.9399,2,  34.5559,2,    189.2,2,   4.4532,1,    0.004,1,       47,   1138.7
    384.0,2,  14.8509,2,  34.5487,2,    189.3,2,   4.4531,1,    0.004,1,       34,   1140.5
    386.0,2,  14.8039,2,  34.5470,2,    189.2,2,   4.4531,1,    0.004,1,       47,   1142.2
    388.0,2,  14.7317,2,  34.5416,2,    189.0,2,   4.4532,1,    0.004,1,       48,   1144.2
    390.0,2,  14.7046,2,  34.5410,2,    188.7,2,   4.4531,1,    0.004,1,       71,   1146.7
    392.0,2,  14.6589,2,  34.5355,2,    188.6,2,   4.4533,1,    0.004,1,       34,   1149.0
    394.0,2,  14.5268,2,  34.5217,2,    188.9,2,   4.4530,1,    0.004,1,       35,   1150.5
    396.0,2,  14.4092,2,  34.5145,2,    188.1,2,   4.4528,1,    0.004,1,       48,   1152.2
    398.0,2,  14.3350,2,  34.5102,2,    186.4,2,   4.4529,1,    0.004,1,       47,   1154.2
    400.0,2,  14.2337,2,  34.5031,2,    185.8,2,   4.4531,1,    0.004,1,       48,   1156.2
    402.0,2,  14.1913,2,  34.5019,2,    185.0,2,   4.4534,1,    0.004,1,       72,   1158.8
    404.0,2,  14.1813,2,  34.5017,2,    184.8,2,   4.4529,1,    0.004,1,       35,   1161.0
    406.0,2,  14.1314,2,  34.4967,2,    184.8,2,   4.4533,1,    0.004,1,       35,   1162.5
    408.0,2,  14.0795,2,  34.4960,2,    184.6,2,   4.4531,1,    0.004,1,       60,   1164.5
    410.0,2,  13.9995,2,  34.4902,2,    184.6,2,   4.4532,1,    0.004,1,       48,   1166.8
    412.0,2,  13.9726,2,  34.4900,2,    184.4,2,   4.4534,1,    0.004,1,       60,   1169.0
    414.0,2,  13.9578,2,  34.4892,2,    184.4,2,   4.4533,1,    0.004,1,       36,   1171.0
    416.0,2,  13.9397,2,  34.4876,2,    184.2,2,   4.4524,1,    0.004,1,       59,   1173.0
    418.0,2,  13.8900,2,  34.4845,2,    184.4,2,   4.4529,1,    0.004,1,       47,   1175.2
    420.0,2,  13.8322,2,  34.4810,2,    184.5,2,   4.4533,1,    0.004,1,       36,   1177.0
